cot_conts_id,cot_conts_name,cot_img_main_url,cot_theme_sub_id,thm_theme_type,thm_conts_type,thm_coord_type,cot_addr_full_old,cot_addr_full_new,cot_coord_data,cot_coord_x,cot_coord_y,cot_tel_no,cot_conts_detail,cot_conts_stat,cot_extra_data_01,cot_extra_data_02,cot_name_01,cot_value_01,cot_name_02,cot_value_02,cot_name_03,cot_value_03,cot_name_04,cot_value_04,cot_name_05,cot_value_05,cot_name_06,cot_value_06,cot_name_07,cot_value_07,cot_name_08,cot_value_08,cot_name_09,cot_value_09,cot_name_10,cot_value_10,cot_name_11,cot_value_11,cot_name_12,cot_value_12,cot_name_13,cot_value_13,cot_name_14,cot_value_14,cot_name_15,cot_value_15,cot_name_16,cot_value_16,cot_name_17,cot_value_17,cot_name_18,cot_value_18,cot_name_19,cot_value_19,cot_name_20,cot_value_20,cot_coord_type,cot_line_pattern,cot_line_color,cot_line_weight,fillcolor,fillpattern,fillpatternsize,cot_movie_url,cot_voice_url,cot_nation_base_area,cot_nation_point_number,cot_conts_lan_type,cot_kw,cot_sub_cate_id,cot_sub_cate_name
"중랑구_043",황기닭곰탕,/smgis2/file/ucimgs/conts/1669595282433/4인.png,1,2,A,1,서울특별시 중랑구 면목동 176-123,서울특별시 중랑구 동일로 633,,,,,,Y,,,키즈메뉴(아이가먹을수있는 메뉴),돈까스,유아용품,유아체어 1개,영업시간,,상세설명,,주차가능여부,,주소,"서울시 중랑구 동일로 633, 1층",비고,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,L,"#0000FF",2,"#0000ff",0,24,,,02135,다사62885426,KOR,"#어린이,#가족",1,한식
"중랑구_042",파불고기 1974 용마산점,/smgis2/file/ucimgs/conts/1669595282433/4인.png,1,2,A,1,서울특별시 중랑구 면목동 367-6,서울특별시 중랑구 면목로 260,,,,,,Y,,,키즈메뉴(아이가먹을수있는 메뉴),파불고기,유아용품,,영업시간,,상세설명,,주차가능여부,,주소,서울시 중랑구 면목로 260,비고,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,L,"#0000FF",2,"#0000ff",0,24,,,02253,다사63445303,KOR,"#어린이,#가족",1,한식
"중랑구_041","성공시대(부자오리)    ",/smgis2/file/ucimgs/conts/1669595282433/4인.png,1,2,A,1,서울특별시 중랑구 면목동 176-123,서울특별시 중랑구 동일로 633,,,,,,Y,,,키즈메뉴(아이가먹을수있는 메뉴),볶음밥,유아용품,유아체어 1개,영업시간,,상세설명,,주차가능여부,,주소,"서울시 중랑구 동일로 633, 2층",비고,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,L,"#0000FF",2,"#0000ff",0,24,,,02135,다사62885426,KOR,"#어린이,#가족",1,한식
"중랑구_040",신선한우촌,/smgis2/file/ucimgs/conts/1669595282433/4인.png,1,2,A,1,서울특별시 중랑구 신내동 352-3,서울특별시 중랑구 용마산로 707,,,,02-492-3335,,Y,,https://blog.naver.com/ose806,키즈메뉴(아이가먹을수있는 메뉴),"누룽지
등심,갈비",유아용품,"유아체어 3개(좌식1개), 수저 및 포크 ",영업시간,"평일, 주말, 공휴일
10:00~22:00",상세설명,아이들도 좋아하는 한우구이,주차가능여부,O,주소,서울특별시 중랑구 용마산로 707,비고,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,L,"#0000FF",2,"#0000ff",0,24,,,02052,다사64805728,KOR,"#어린이,#가족",1,한식
"중랑구_039",한우특가,/smgis2/file/ucimgs/conts/1669595282433/4인.png,1,2,A,1,서울특별시 중랑구 신내동 396-32,서울특별시 중랑구 봉화산로 243,,,,02-435-1999,,Y,,없음,키즈메뉴(아이가먹을수있는 메뉴),된장국밥,유아용품,"유아체어3개, 유아용 수저 및 포크, 식기 각 3개",영업시간,"평일 17:00~22:00, 토 12:00~23:00, 일 12:00~22:00",상세설명,아이들도 좋아하는 한우구이,주차가능여부,O,주소,서울특별시 중랑구 봉화산로 243,비고,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,L,"#0000FF",2,"#0000ff",0,24,,,02053,다사64665662,KOR,"#어린이,#가족",1,한식
"중랑구_038",부대닭,/smgis2/file/ucimgs/conts/1669595282433/4인.png,1,2,A,1,서울특별시 중랑구 중화동 120-6,서울특별시 중랑구 봉화산로 94,,,,02-2209-2890,,Y,,없음,키즈메뉴(아이가먹을수있는 메뉴),"닭한마리
국밥",유아용품,"유아체어1개
유아용 수저,포크",영업시간,"평일 10:00~21:30,
 토 11:00~21:00, 
일 10:00~22:00",상세설명,아이들도 함께 즐기는 닭한마리,주차가능여부,O,주소,서울특별시 중랑구 봉화산로 94,비고,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,L,"#0000FF",2,"#0000ff",0,24,,,02089,다사63365593,KOR,"#어린이,#가족",1,한식
"중랑구_037",육육상회,/smgis2/file/ucimgs/conts/1669595282433/4인.png,1,2,A,1,서울특별시 중랑구 면목동 144-1,서울특별시 중랑구 봉우재로 68,,,,02-434-9242,,Y,,,키즈메뉴(아이가먹을수있는 메뉴),부드러운 암소부위,유아용품,"유아 의자, 식기류",영업시간,"평일, 주말, 공휴일
10:00 ~ 23:00",상세설명,,주차가능여부,O,주소,중랑구 면목동 144-29 1층,비고,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,L,"#0000FF",2,"#0000ff",0,24,,,02140,다사62985473,KOR,"#어린이,#가족",1,한식
"중랑구_036","흥부골숯불돼지
왕갈비",/smgis2/file/ucimgs/conts/1669595282433/4인.png,1,2,A,1,서울특별시 중랑구 면목동 497-7,서울특별시 중랑구 면목로 341,,,,02-491-4488,,Y,,,키즈메뉴(아이가먹을수있는 메뉴),계란찜,유아용품,유아의자,영업시간,"평일, 주말, 공휴일
11:00 ~23:00",상세설명,아이 방문을 환영하고 양육자가 마음편히 이용할 수 있는 식당,주차가능여부,O,주소,서울특별시 중랑구 면목로 341,비고,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,L,"#0000FF",2,"#0000ff",0,24,,,02228,다사63635372,KOR,"#어린이,#가족",1,한식
"중랑구_035",이어도참치,/smgis2/file/ucimgs/conts/1669595282433/4인.png,4,2,A,1,서울특별시 중랑구 면목동 176-122,서울특별시 중랑구 동일로 635,,,,02-493-3733,,Y,,,키즈메뉴(아이가먹을수있는 메뉴),회덮밥,유아용품,유아의자,영업시간,"평일, 주말, 공휴일
14:00 ~ 23:00",상세설명,모범식당 및 안심식당 등 선정되어 아이들도 안심하고 먹을 수 있는 식당,주차가능여부,O,주소,서울특별시 중랑구 동일로 635,비고,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,L,"#0000FF",2,"#0000ff",0,24,,,02135,다사62885428,KOR,"#어린이,#가족",4,일식
"중랑구_033",대흥정육식당,/smgis2/file/ucimgs/conts/1669595282433/4인.png,1,2,A,1,서울특별시 중랑구 면목동 186-149,서울특별시 중랑구 중랑천로10길 24,,,,02-435-6288,,Y,,,키즈메뉴(아이가먹을수있는 메뉴),계란찜,유아용품,유아의자,영업시간,"평일, 주말, 공휴일
10:00 ~ 22:00",상세설명,국내산 재료만을 사용하여 온 가족이 안심하고 먹을 수 있는 식당,주차가능여부,O,주소,서울특별시 중랑구 중랑천로10길 24,비고,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,L,"#0000FF",2,"#0000ff",0,24,,,02126,다사62435479,KOR,"#어린이,#가족",1,한식
