가게명,가게ID
황기닭곰탕,1502656018
파불고기 1974 용마산점,1245577331
신선한우촌,18172190
한우특가,1676155008
부대닭,38237739
육육상회,1722025528
"흥부골숯불돼지
왕갈비",31689563
이어도참치,18183669
대흥정육식당,1825136814
성공시대팔팔추어탕,1446540465
카페252,1068679360
미스터아구신내점,1799912222
용쥐숯불갈비,13218862
"롯데리아
망우",20708043
"롯데리아
면목중앙",11824925
"롯데리아
사가정역",18193373
"롯데리아
중랑역",30842295
"롯데리아
중화역",1222388993
"탐앤탐스
(중랑구청점)",443965834
"부자돼소
(무한리필)",1334548512
"이디야커피 
중랑역점",36252520
두미가,1719035199
"한동길뼈다귀감자탕
(신내본점)",13474619
추오정남원추어탕,36100313
남한강물고기,12888097
다함닭갈비,38320574
"두채사랑전주
콩나물국밥",32572706
박가뼈다귀감자탕,13505254
"다함닭갈비
(먹골직영점)",1699006419
채선당,20079733
"춘향골남원추어탕
(묵동점)",11629436
히즈빈스 명동점,1033931620
푸드익스체인지,1814970451
파티앤프렌즈,1158074577
아리랑,11718762
허수아비돈까스,18110014
치소우다이닝,1431867899
만다리,13152723
수잔나의앞치마,1804950881
도치피자장충점,31161142
오챠드1974,944947869
"매드포갈릭
센터원점",1935876652
"엔제리너스
명동시티호텔점",38227882
"롯데리아
청구역",21817954
"이디야커피
IBK본점",1387435267
산채향 ,20502729
나주곰탕,156600499
카페마레,1069359325
냐항인안국,1889006720
혜화가마솥소머리순대국밥,1093179710
산채향,17907967
만수의 정원,20389137
닥터로빈 광화문점,36992330
핏제리아오,33646740
순대실록,20148711
광화문 미진,11680222
국시랑만두,12804804
궁나라묵밥,11629845
아산한우방,1858892171
더키친750,37420979
포로이대학로,11725591
"롯데리아
혜화",1882858269
"롯데리아
동묘역",21817947
채선당,12862886
저스트카츠 수색점,1221244671
소담촌 구산점,343206142
강화통통생고기 수색점,1018231978
아스론가,1193069264
평양초계탕막국수,21007442
참숯왕대박갈비,37943899
인생돈카츠,1170863587
차이몬스터,36684022
도원,1904897104
공화춘,18088313
원할머니보쌈 녹번점,12929709
"롯데리아
불광",38740899
"롯데리아
녹번",33789769
이디야커피 본서부병원점,1455634095
야래향,13046981
만진루,37445950
고집,279106342
원할머니보쌈족발응암점,12929715
빈스앤베리즈,31383685
